Depth,Years,Months,Lake,Temp,O2,TP,PO4,TN,NO3,NH4,Chl,SiO2
0,2000,1,GBS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2000,1,GBS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,2000,1,GBS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,2000,1,GBS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,2000,1,GBS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,2000,1,GBS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,2000,1,GBS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,2000,1,GBS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,2000,1,GBS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,2000,1,GBS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,2000,1,GBS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,2000,1,GBS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,2000,1,GBS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,2000,1,GBS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,2000,1,GBS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,2000,1,GBS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,2000,1,GBS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,2000,1,GBS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,2000,1,GBS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,2000,1,GBS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,2000,1,GBS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,2000,1,GBS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,2000,1,GBS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,2000,1,GBS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
