Date,Years,Months,Lake,Temp,O2
0,2000,1,GBS,NaN,NaN
0,2000,2,GBS,NaN,NaN
0,2000,3,GBS,NaN,NaN
0,2000,4,GBS,NaN,NaN
5/3/2000,2000,5,GBS,11.05153067,11.27091951
6/14/2000,2000,6,GBS,14.12836277,8.660633444
7/12/2000,2000,7,GBS,13.97437271,7.710807176
8/9/2000,2000,8,GBS,14.84691474,6.523181353
9/6/2000,2000,9,GBS,14.02563875,6.020102254
10/4/2000,2000,10,GBS,12.32362633,7.17873222
11/15/2000,2000,11,GBS,8.87507487,8.832987484
0,2000,12,GBS,NaN,NaN
0,2001,1,GBS,NaN,NaN
0,2001,2,GBS,NaN,NaN
0,2001,3,GBS,NaN,NaN
4/2/2001,2001,4,GBS,5.792288543,12.89725467
5/2/2001,2001,5,GBS,10.949214,11.53668208
6/11/2001,2001,6,GBS,13.23576531,9.178264066
7/9/2001,2001,7,GBS,15.33023127,7.900971494
8/6/2001,2001,8,GBS,16.41049961,6.960205277
9/3/2001,2001,9,GBS,14.18040917,6.598089133
10/1/2001,2001,10,GBS,12.77045663,7.202675142
11/13/2001,2001,11,GBS,8.750024453,NaN
0,2001,12,GBS,NaN,NaN
0,2002,1,GBS,NaN,NaN
2/4/2002,2002,2,GBS,2.336723832,15.16758304
3/4/2002,2002,3,GBS,3.842371061,13.71236921
4/15/2002,2002,4,GBS,7.112198953,12.28792058
5/27/2002,2002,5,GBS,12.80451429,9.151073832
6/10/2002,2002,6,GBS,15.52079659,8.534194913
7/22/2002,2002,7,GBS,16.21195603,6.430405164
8/5/2002,2002,8,GBS,16.45198704,6.401892162
9/2/2002,2002,9,GBS,15.07676108,5.417965548
10/15/2002,2002,10,GBS,11.81105769,6.365628286
11/25/2002,2002,11,GBS,8.368804237,9.596783838
0,2002,12,GBS,NaN,NaN
0,2003,1,GBS,NaN,NaN
0,2003,2,GBS,NaN,NaN
3/17/2003,2003,3,GBS,4.306992503,14.65051176
4/14/2003,2003,4,GBS,6.948699317,12.42384472
5/12/2003,2003,5,GBS,12.26192914,10.20789219
6/10/2003,2003,6,GBS,14.63440937,7.973950937
7/30/2003,2003,7,GBS,16.73509829,5.740474384
8/18/2003,2003,8,GBS,16.9045505,5.790611347
9/1/2003,2003,9,GBS,15.34596002,3.449090746
10/13/2003,2003,10,GBS,11.25958638,7.853762702
11/10/2003,2003,11,GBS,8.289090425,10.82225111
0,2003,12,GBS,NaN,NaN
0,2004,1,GBS,NaN,NaN
0,2004,2,GBS,NaN,NaN
3/29/2004,2004,3,GBS,4.045333422,13.31646652
4/13/2004,2004,4,GBS,6.970525696,12.20412165
5/10/2004,2004,5,GBS,9.983798233,9.760339764
6/21/2004,2004,6,GBS,13.19708481,7.291165757
7/5/2004,2004,7,GBS,14.76190101,6.221210367
8/2/2004,2004,8,GBS,15.65580129,5.478170694
9/27/2004,2004,9,GBS,13.68408873,6.532838431
10/11/2004,2004,10,GBS,12.66847995,8.05015083
0,2004,11,GBS,NaN,NaN
0,2004,12,GBS,NaN,NaN
0,2005,1,GBS,NaN,NaN
0,2005,2,GBS,NaN,NaN
0,2005,3,GBS,NaN,NaN
4/4/2005,2005,4,GBS,4.531100502,11.86674854
5/2/2005,2005,5,GBS,11.79776602,11.83756828
6/27/2005,2005,6,GBS,15.41385266,8.811758212
7/25/2005,2005,7,GBS,15.11952927,9.060488409
8/22/2005,2005,8,GBS,15.20226914,6.80216554
9/19/2005,2005,9,GBS,14.70029616,5.281117245
10/17/2005,2005,10,GBS,12.81005601,6.3848871
11/14/2005,2005,11,GBS,10.93564323,6.692258871
0,2005,12,GBS,NaN,NaN
0,2006,1,GBS,NaN,NaN
0,2006,2,GBS,NaN,NaN
0,2006,3,GBS,NaN,NaN
0,2006,4,GBS,NaN,NaN
5/2/2006,2006,5,GBS,8.056782322,12.60862553
6/12/2006,2006,6,GBS,13.40541849,9.199878193
7/24/2006,2006,7,GBS,16.30401251,6.610175652
8/21/2006,2006,8,GBS,15.35715715,6.3110648
9/18/2006,2006,9,GBS,15.77915268,7.122738963
10/16/2006,2006,10,GBS,14.16316535,6.086845518
11/13/2006,2006,11,GBS,10.41311951,9.45999955
12/11/2006,2006,12,GBS,8.468871479,10.82312798
0,2007,1,GBS,NaN,NaN
0,2007,2,GBS,NaN,NaN
3/5/2007,2007,3,GBS,4.981750795,14.19742838
4/2/2007,2007,4,GBS,6.180526745,12.4654234
5/2/2007,2007,5,GBS,9.338598589,10.4867084
6/25/2007,2007,6,GBS,18.27729058,8.299788633
7/23/2007,2007,7,GBS,17.61447027,6.222131767
8/20/2007,2007,8,GBS,17.97734727,7.564756564
9/17/2007,2007,9,GBS,15.9192572,7.734315
10/15/2007,2007,10,GBS,14.16609532,6.555126881
0,2007,11,GBS,NaN,NaN
12/10/2007,2007,12,GBS,6.054697725,11.39833075
0,2008,1,GBS,NaN,NaN
0,2008,2,GBS,NaN,NaN
3/31/2008,2008,3,GBS,NaN,NaN
4/28/2008,2008,4,GBS,6.833511665,12.57473398
5/26/2008,2008,5,GBS,11.72353999,9.380851848
6/23/2008,2008,6,GBS,14.62411262,6.719916824
7/21/2008,2008,7,GBS,15.25536767,6.146776261
8/18/2008,2008,8,GBS,15.52181242,4.323660023
