"Date","Years","Months","Lake","Specie","Value"
"NaN",2000,1,"GBS","Temp","NaN"
"NaN",2000,2,"GBS","Temp","NaN"
"NaN",2000,3,"GBS","Temp","NaN"
"NaN",2000,4,"GBS","Temp","NaN"
"5/3/2000",2000,5,"GBS","Temp","11.05"
"6/14/2000",2000,6,"GBS","Temp","14.13"
"7/12/2000",2000,7,"GBS","Temp","13.97"
"8/9/2000",2000,8,"GBS","Temp","14.85"
"9/6/2000",2000,9,"GBS","Temp","14.03"
"10/4/2000",2000,10,"GBS","Temp","12.32"
"11/15/2000",2000,11,"GBS","Temp","8.88"
"NaN",2000,12,"GBS","Temp","NaN"
"NaN",2001,1,"GBS","Temp","NaN"
"NaN",2001,2,"GBS","Temp","NaN"
"NaN",2001,3,"GBS","Temp","NaN"
"4/2/2001",2001,4,"GBS","Temp","5.79"
"5/2/2001",2001,5,"GBS","Temp","10.95"
"6/11/2001",2001,6,"GBS","Temp","13.24"
"7/9/2001",2001,7,"GBS","Temp","15.33"
"8/6/2001",2001,8,"GBS","Temp","16.41"
"9/3/2001",2001,9,"GBS","Temp","14.18"
"10/1/2001",2001,10,"GBS","Temp","12.77"
"11/13/2001",2001,11,"GBS","Temp","8.75"
"NaN",2001,12,"GBS","Temp","NaN"
"NaN",2002,1,"GBS","Temp","NaN"
"2/4/2002",2002,2,"GBS","Temp","2.34"
"3/4/2002",2002,3,"GBS","Temp","3.84"
"4/15/2002",2002,4,"GBS","Temp","7.11"
"5/27/2002",2002,5,"GBS","Temp","12.8"
"6/10/2002",2002,6,"GBS","Temp","15.52"
"7/22/2002",2002,7,"GBS","Temp","16.21"
"8/5/2002",2002,8,"GBS","Temp","16.45"
"9/2/2002",2002,9,"GBS","Temp","15.08"
"10/15/2002",2002,10,"GBS","Temp","11.81"
"11/25/2002",2002,11,"GBS","Temp","8.37"
"NaN",2002,12,"GBS","Temp","NaN"
"NaN",2003,1,"GBS","Temp","NaN"
"NaN",2003,2,"GBS","Temp","NaN"
"3/17/2003",2003,3,"GBS","Temp","4.31"
"4/14/2003",2003,4,"GBS","Temp","6.95"
"5/12/2003",2003,5,"GBS","Temp","12.26"
"6/10/2003",2003,6,"GBS","Temp","14.63"
"7/30/2003",2003,7,"GBS","Temp","16.74"
"8/18/2003",2003,8,"GBS","Temp","16.9"
"9/1/2003",2003,9,"GBS","Temp","15.35"
"10/13/2003",2003,10,"GBS","Temp","11.26"
"11/10/2003",2003,11,"GBS","Temp","8.29"
"NaN",2003,12,"GBS","Temp","NaN"
"NaN",2004,1,"GBS","Temp","NaN"
"NaN",2004,2,"GBS","Temp","NaN"
"3/29/2004",2004,3,"GBS","Temp","4.05"
"4/13/2004",2004,4,"GBS","Temp","6.97"
