Depth,Years,Months,Lake,Temp,O2
0,2000,1,GBS,NaN,NaN
1,2000,1,GBS,NaN,NaN
2,2000,1,GBS,NaN,NaN
3,2000,1,GBS,NaN,NaN
4,2000,1,GBS,NaN,NaN
5,2000,1,GBS,NaN,NaN
6,2000,1,GBS,NaN,NaN
7,2000,1,GBS,NaN,NaN
8,2000,1,GBS,NaN,NaN
9,2000,1,GBS,NaN,NaN
10,2000,1,GBS,NaN,NaN
11,2000,1,GBS,NaN,NaN
12,2000,1,GBS,NaN,NaN
13,2000,1,GBS,NaN,NaN
14,2000,1,GBS,NaN,NaN
15,2000,1,GBS,NaN,NaN
16,2000,1,GBS,NaN,NaN
17,2000,1,GBS,NaN,NaN
18,2000,1,GBS,NaN,NaN
19,2000,1,GBS,NaN,NaN
20,2000,1,GBS,NaN,NaN
21,2000,1,GBS,NaN,NaN
22,2000,1,GBS,NaN,NaN
23,2000,1,GBS,NaN,NaN
24,2000,1,GBS,NaN,NaN
25,2000,1,GBS,NaN,NaN
26,2000,1,GBS,NaN,NaN
27,2000,1,GBS,NaN,NaN
28,2000,1,GBS,NaN,NaN
29,2000,1,GBS,NaN,NaN
30,2000,1,GBS,NaN,NaN
0,2000,2,GBS,NaN,NaN
1,2000,2,GBS,NaN,NaN
2,2000,2,GBS,NaN,NaN
3,2000,2,GBS,NaN,NaN
4,2000,2,GBS,NaN,NaN
5,2000,2,GBS,NaN,NaN
6,2000,2,GBS,NaN,NaN
7,2000,2,GBS,NaN,NaN
8,2000,2,GBS,NaN,NaN
9,2000,2,GBS,NaN,NaN
10,2000,2,GBS,NaN,NaN
11,2000,2,GBS,NaN,NaN
12,2000,2,GBS,NaN,NaN
13,2000,2,GBS,NaN,NaN
14,2000,2,GBS,NaN,NaN
15,2000,2,GBS,NaN,NaN
16,2000,2,GBS,NaN,NaN
17,2000,2,GBS,NaN,NaN
18,2000,2,GBS,NaN,NaN
19,2000,2,GBS,NaN,NaN
20,2000,2,GBS,NaN,NaN
21,2000,2,GBS,NaN,NaN
22,2000,2,GBS,NaN,NaN
23,2000,2,GBS,NaN,NaN
24,2000,2,GBS,NaN,NaN
25,2000,2,GBS,NaN,NaN
26,2000,2,GBS,NaN,NaN
27,2000,2,GBS,NaN,NaN
28,2000,2,GBS,NaN,NaN
29,2000,2,GBS,NaN,NaN
30,2000,2,GBS,NaN,NaN
0,2000,3,GBS,NaN,NaN
1,2000,3,GBS,NaN,NaN
2,2000,3,GBS,NaN,NaN
3,2000,3,GBS,NaN,NaN
4,2000,3,GBS,NaN,NaN
5,2000,3,GBS,NaN,NaN
6,2000,3,GBS,NaN,NaN
7,2000,3,GBS,NaN,NaN
8,2000,3,GBS,NaN,NaN
9,2000,3,GBS,NaN,NaN
10,2000,3,GBS,NaN,NaN
11,2000,3,GBS,NaN,NaN
12,2000,3,GBS,NaN,NaN
13,2000,3,GBS,NaN,NaN
14,2000,3,GBS,NaN,NaN
15,2000,3,GBS,NaN,NaN
16,2000,3,GBS,NaN,NaN
17,2000,3,GBS,NaN,NaN
18,2000,3,GBS,NaN,NaN
19,2000,3,GBS,NaN,NaN
20,2000,3,GBS,NaN,NaN
21,2000,3,GBS,NaN,NaN
22,2000,3,GBS,NaN,NaN
23,2000,3,GBS,NaN,NaN
24,2000,3,GBS,NaN,NaN
25,2000,3,GBS,NaN,NaN
26,2000,3,GBS,NaN,NaN
27,2000,3,GBS,NaN,NaN
28,2000,3,GBS,NaN,NaN
29,2000,3,GBS,NaN,NaN
30,2000,3,GBS,NaN,NaN
0,2000,4,GBS,NaN,NaN
1,2000,4,GBS,NaN,NaN
2,2000,4,GBS,NaN,NaN
3,2000,4,GBS,NaN,NaN
4,2000,4,GBS,NaN,NaN
5,2000,4,GBS,NaN,NaN
6,2000,4,GBS,NaN,NaN
7,2000,4,GBS,NaN,NaN
8,2000,4,GBS,NaN,NaN
9,2000,4,GBS,NaN,NaN
10,2000,4,GBS,NaN,NaN
11,2000,4,GBS,NaN,NaN
12,2000,4,GBS,NaN,NaN
13,2000,4,GBS,NaN,NaN
14,2000,4,GBS,NaN,NaN
15,2000,4,GBS,NaN,NaN
16,2000,4,GBS,NaN,NaN
17,2000,4,GBS,NaN,NaN
18,2000,4,GBS,NaN,NaN
19,2000,4,GBS,NaN,NaN
20,2000,4,GBS,NaN,NaN
21,2000,4,GBS,NaN,NaN
22,2000,4,GBS,NaN,NaN
23,2000,4,GBS,NaN,NaN
24,2000,4,GBS,NaN,NaN
25,2000,4,GBS,NaN,NaN
26,2000,4,GBS,NaN,NaN
27,2000,4,GBS,NaN,NaN
28,2000,4,GBS,NaN,NaN
29,2000,4,GBS,NaN,NaN
30,2000,4,GBS,NaN,NaN
0,2000,5,GBS,15.86666667,11.1
1,2000,5,GBS,15.8,11.16666667
2,2000,5,GBS,15.63333333,11.3
3,2000,5,GBS,15.2,11.73333333
4,2000,5,GBS,13.46666667,12.63333333
5,2000,5,GBS,12.76666667,12.56666667
6,2000,5,GBS,11.43333333,11.8
7,2000,5,GBS,10.8,11.13333333
8,2000,5,GBS,9.5,10.83333333
9,2000,5,GBS,8.233333333,10.6
10,2000,5,GBS,7.766666667,10.4
11,2000,5,GBS,7.333333333,10.43333333
12,2000,5,GBS,7.133333333,10.36666667
13,2000,5,GBS,7,10.5
14,2000,5,GBS,6.866666667,10.6
15,2000,5,GBS,6.766666667,10.7
16,2000,5,GBS,6.6,10.76666667
17,2000,5,GBS,6.533333333,10.8
18,2000,5,GBS,6.433333333,10.93333333
19,2000,5,GBS,6.366666667,10.96666667
20,2000,5,GBS,6.333333333,11.1
21,2000,5,GBS,6.233333333,11.13333333
22,2000,5,GBS,6.233333333,11.26666667
23,2000,5,GBS,6.2,11.3
24,2000,5,GBS,6.166666667,11.33333333
25,2000,5,GBS,6.166666667,11.36666667
26,2000,5,GBS,6.133333333,11.3
27,2000,5,GBS,6.133333333,11.26666667
28,2000,5,GBS,6.166666667,11.2
29,2000,5,GBS,6.133333333,11.13333333
30,2000,5,GBS,6.066666667,11.16666667
0,2000,6,GBS,21.65,9.5
1,2000,6,GBS,21.55,9.55
2,2000,6,GBS,20.9,9.8
3,2000,6,GBS,20.55,9.95
4,2000,6,GBS,20.2,10.15
5,2000,6,GBS,18.1,10.45
6,2000,6,GBS,16.1,9.5
7,2000,6,GBS,12.15,8.25
8,2000,6,GBS,10.45,7.6
9,2000,6,GBS,9.55,7.55
10,2000,6,GBS,9.05,7.45
11,2000,6,GBS,8.65,7.5
12,2000,6,GBS,8.25,7.35
13,2000,6,GBS,7.95,7.35
14,2000,6,GBS,7.7,7.3
15,2000,6,GBS,7.55,7.4
16,2000,6,GBS,7.4,7.15
17,2000,6,GBS,7.3,7.25
18,2000,6,GBS,7.25,7.35
19,2000,6,GBS,7.15,7.5
20,2000,6,GBS,7.1,7.7
21,2000,6,GBS,7,7.7
22,2000,6,GBS,6.9,7.6
23,2000,6,GBS,6.8,7.65
24,2000,6,GBS,6.7,7.65
25,2000,6,GBS,6.7,7.65
26,2000,6,GBS,6.75,7.65
27,2000,6,GBS,6.6,7.65
28,2000,6,GBS,6.6,7.45
29,2000,6,GBS,6.6,7.5
